DATE, UBIT, DURATION, ACTIVITY & TOOL DESCRIPTION
2025/02/22, maisoona, 10 mins, Made GitHub repository
2025/02/22, maisoona, 2 hours, edited csv.c using emacs editior to add a function that handles "-records"
2025/02/22, maisoona, 2 hours, edited Makefile using emacs editor
2025/02/22, maisoona, 1 hour, edited csv.c using emacs to debug "-records" function
2025/02/24, maisoona, 2 hours, edited csv_functions.c using emacs to debug records function
2025/02/24, maisoona, 1 hour, edited csv.c to give functionality to "'records" function 
